"latitude","longitude","date","location.latitude","location.longitude","temperatures.max","temperatures.min","precipitation.amount","solar.amount","relativeHumidity.max","relativeHumidity.min","wind.morningMax","wind.dayMax","wind.average"
40,-90,"2018-10-29",40,-90,18.4200000762939,1.58000004291534,0,4245.82666015625,89.9400024414062,34.2900009155273,2.66564273834229,5.04612350463867,2.30300402641296
40,-90,"2018-10-30",40,-90,24.3299999237061,10.1800003051758,3.06088137626648,3219.84741210938,95,59.1100006103516,6.7842845916748,7.43401622772217,4.64232206344604
40,-90,"2018-10-31",40,-90,15.9099998474121,9.52000045776367,10.2852210998535,2318.18676757812,97.5100021362305,58.3300018310547,5.77766704559326,6.67911863327026,3.9330906867981
40,-90,"2018-11-01",40,-90,10.6300001144409,4.71999979019165,26.6243209838867,1367.55395507812,95.5400009155273,73.5400009155273,5.42914533615112,6.18298482894897,3.37919282913208
40,-90,"2018-11-02",40,-90,10.9799995422363,0.689999997615814,0,2116.12939453125,99.2099990844727,68.9100036621094,2.92378234863281,3.49284768104553,1.20867252349854
40,-90,"2018-11-03",40,-90,11.539999961853,2.15000009536743,1.01428806781769,1995.70007324219,99.6600036621094,71.2699966430664,6.07503890991211,7.63884878158569,4.0093936920166
40,-90,"2018-11-04",40,-90,12.4799995422363,6.36999988555908,7.44501972198486,1402.50122070312,96.3300018310547,75.3499984741211,10.565788269043,10.6310043334961,6.6786470413208
40,-90,"2018-11-05",40,-90,10.5699996948242,4.48000001907349,8.16862773895264,2300.79907226562,99.3000030517578,70.8399963378906,6.94769144058228,7.59888887405396,4.3203763961792
40,-90,"2018-11-06",40,-90,12.5900001525879,3.58999991416931,0,2845.10302734375,94.379997253418,55.3899993896484,10.9943408966064,11.0442781448364,6.25446367263794
40,-90,"2018-11-07",40,-90,7.15999984741211,-0.959999978542328,0,3764.64526367188,91.2399978637695,57.5900001525879,5.36748886108398,5.4235725402832,3.08401536941528
40,-90,"2018-11-08",40,-90,3.22000002861023,-1.04999995231628,2.87913632392883,1461.26147460938,98.5100021362305,72.0299987792969,3.91004395484924,4.04003953933716,2.6889271736145
40,-90,"2018-11-09",40,-90,0.910000026226044,-6.65999984741211,0.630123376846313,1207.95520019531,99.5999984741211,62.6300010681152,6.68291807174683,8.40942192077637,4.90254497528076
40,-90,"2018-11-10",40,-90,-0.349999994039536,-9.38000011444092,0,3715.89453125,83.8300018310547,47.1300010681152,4.15104341506958,5.30060434341431,3.29314780235291
40,-90,"2018-11-11",40,-90,6.61999988555908,-3.52999997138977,0,3604.40478515625,87.2699966430664,54.3199996948242,4.98695850372314,5.43382883071899,2.63250494003296
40,-90,"2018-11-12",40,-90,1.66999995708466,-4.40000009536743,1.10400593280792,1091.48254394531,94.7200012207031,75.2600021362305,6.44464683532715,7.48603630065918,4.86046028137207
40,-90,"2018-11-13",40,-90,-2.49000000953674,-8.53999996185303,0,2790.701171875,86.1399993896484,62.6199989318848,6.07798957824707,6.76190423965454,3.57849645614624
40,-90,"2018-11-14",40,-90,1.41999995708466,-9.63000011444092,0,3566.34057617188,90.629997253418,54,4.28643083572388,5.29630184173584,2.67398190498352
40,-90,"2018-11-15",40,-90,-0.319999992847443,-5.44999980926514,5.32770299911499,1368.14904785156,95.4499969482422,79.9700012207031,4.15128803253174,5.7784276008606,3.14163994789124
40,-90,"2018-11-16",40,-90,4,-3.96000003814697,0.114142343401909,1457.62951660156,96.6100006103516,76.4499969482422,4.93853616714478,5.71594858169556,3.08181643486023
40,-90,"2018-11-17",40,-90,2.99000000953674,-1.83000004291534,0.552320301532745,1441.82775878906,97.9000015258789,87.870002746582,6.10027837753296,6.41515398025513,4.38145399093628
40,-90,"2018-11-18",40,-90,1.52999997138977,-0.839999973773956,1.42770290374756,1047.01171875,97.8399963378906,85.0299987792969,5.12784004211426,5.40372133255005,3.02835369110107
40,-90,"2018-11-19",40,-90,5.03999996185303,-0.910000026226044,2.4656400680542,1331.11804199219,95.9400024414062,72.5699996948242,3.68687105178833,6.62938261032104,2.86622881889343
40,-90,"2018-11-20",40,-90,1.33000004291534,-2.42000007629395,0,2160.54467773438,84.6900024414062,63.3800010681152,5.52119922637939,6.14575958251953,4.02924203872681
40,-90,"2018-11-21",40,-90,9.43000030517578,-2.51999998092651,0,3347.41625976562,92.7699966430664,58.6300010681152,3.15598773956299,5.31241464614868,2.52109122276306
40,-90,"2018-11-22",40,-90,13.6800003051758,-2.22000002861023,0,3297.0322265625,94.4400024414062,47.0699996948242,3.56094884872437,5.79675436019897,3.54422426223755
40,-90,"2018-11-23",40,-90,10.0699996948242,3.44000005722046,12.3122682571411,2345.15063476562,97.4100036621094,65.2699966430664,8.83283615112305,9.46329498291016,5.97522735595703
40,-90,"2018-11-24",40,-90,13.5,3.96000003814697,0.366736054420471,3115.37670898438,97.5899963378906,60.4599990844727,6.73735904693604,6.8428201675415,3.7150719165802
40,-90,"2018-11-25",40,-90,8.75,-0.109999999403954,10.4923181533813,1085.51147460938,96.8899993896484,83.3000030517578,7.69609022140503,12.9836959838867,7.03006029129028
40,-90,"2018-11-26",40,-90,-0.550000011920929,-6.67999982833862,0.972345650196075,946.969909667969,94.9400024414062,74.7099990844727,9.30783653259277,11.9450273513794,7.37142944335938
40,-90,"2018-11-27",40,-90,-5.51999998092651,-9.90999984741211,0,1551.97766113281,84.3600006103516,73.629997253418,6.742018699646,7.03487586975098,4.28321170806885
